#label 0: thin
#label 1: normal
#label 2: fat
label,height,weight
1,188,71
2,161,68
0,178,52
2,136,63
1,145,52
2,123,45
2,135,59
0,169,45
2,120,46
2,154,75
2,136,60
0,158,46
1,132,41
2,152,59
2,131,53
1,165,59
0,188,55
2,129,43
2,122,61
1,197,80
2,142,72
0,168,38
0,157,41
2,153,67
0,168,47
1,127,39
1,148,47
0,160,40
0,179,59
1,186,73
2,141,54
0,180,54
1,161,58
2,125,57
2,176,78
2,163,78
2,125,70
1,170,64
1,190,74
2,131,65
2,148,60
2,135,68
0,183,61
0,168,41
0,180,58
0,184,49
2,139,59
0,156,36
1,178,62
1,183,70
0,179,40
0,190,40
0,180,37
0,189,40
0,182,61
2,146,71
0,170,40
2,144,68
0,193,48
0,191,54
2,146,63
0,198,63
2,140,59
1,193,74
0,175,40
2,175,77
0,166,43
2,174,76
1,160,57
2,168,75
0,173,48
1,183,63
2,122,75
1,149,42
2,126,70
1,182,69
0,195,68
1,170,67
2,165,79
2,168,72
2,168,77
1,199,77
2,167,74
2,146,75
2,122,38
0,183,39
2,147,75
2,167,78
2,131,59
0,183,61
0,183,55
0,180,41
1,177,76
2,150,78
1,173,61
2,151,60
1,195,79
2,121,79
0,180,35
0,176,57
2,132,63
0,158,39
0,192,58
1,154,50
0,186,43
2,165,78
1,180,80
0,181,44
1,197,73
2,141,79
2,173,76
0,172,48
0,149,35
2,140,53
0,187,35
2,144,68
1,187,77
1,173,63
1,160,55
0,155,39
2,150,60
2,136,47
2,149,73
1,161,61
2,157,65
2,137,54
2,163,71
0,164,39
0,166,46
1,173,56
0,192,66
2,142,58
2,133,55
0,187,35
2,128,68
2,155,79
2,130,61
0,187,52
0,176,53
0,179,52
1,154,44
2,121,45
1,132,38
0,192,47
2,128,60
1,174,57
1,158,61
2,129,51
0,181,53
0,175,55
0,195,42
1,158,48
0,185,56
0,163,47
1,185,64
2,131,62
2,134,80
2,134,77
0,139,35
2,148,71
2,136,56
2,128,63
2,123,60
2,122,53
1,194,80
0,178,43
1,147,48
2,126,69
0,199,59
0,177,54
1,164,64
1,166,60
2,127,71
1,147,45
1,178,69
0,186,48
1,136,40
2,151,76
1,152,56
1,170,63
1,149,46
0,185,44
1,151,57
0,199,52
2,152,66
1,179,62
0,183,38
2,130,80
0,199,53
0,147,38
0,198,72
2,144,54
2,125,47
1,153,45
1,133,41
2,157,75
0,195,54
2,137,48
1,169,66
2,141,64
1,142,46
0,150,35
2,139,55
1,152,56
2,156,73
1,164,55
2,136,61
1,183,73
2,150,63
1,136,40
1,138,40
2,149,65
2,124,55
0,159,41
2,138,77
1,153,44
1,145,48
1,166,64
2,133,53
2,139,66
2,130,77
1,140,44
0,169,43
0,188,60
1,188,74
1,163,50
0,184,55
1,162,61
1,179,78
1,143,49
1,125,36
1,143,46
0,160,45
2,125,45
1,144,40
1,188,70
0,182,38
2,135,80
2,131,63
2,132,79
2,149,61
2,134,76
2,126,44
2,120,79
0,191,54
1,130,36
0,160,37
0,194,39
1,183,76
1,184,65
1,179,77
2,120,50
1,139,41
1,184,79
2,141,77
2,127,64
1,163,63
2,128,43
0,179,36
1,172,58
0,200,47
1,165,60
0,159,45
2,144,59
1,187,77
0,181,54
2,135,67
2,145,60
1,148,41
2,136,70
0,196,71
1,173,62
2,131,71
1,168,68
0,197,35
0,178,35
0,191,57
2,125,69
2,151,59
2,143,75
2,134,49
0,186,64
1,170,60
1,156,47
2,158,66
2,130,62
1,188,69
0,191,37
2,159,66
2,170,74
2,140,61
2,138,56
1,158,52
1,155,49
1,180,73
0,198,39
0,174,37
2,149,67
1,182,62
0,194,48
2,142,52
0,194,69
2,151,80
0,198,59
2,151,69
2,152,60
0,198,52
1,157,51
0,194,46
2,151,72
1,182,64
0,195,47
0,170,39
2,175,79
2,141,75
1,192,75
2,141,53
2,126,78
2,142,76
1,182,69
2,141,65
0,167,50
0,172,41
0,168,52
0,184,42
1,197,77
2,134,53
2,128,64
1,141,41
1,186,68
2,126,69
1,179,74
0,180,58
0,146,36
1,150,51
1,163,55
2,137,70
2,139,52
0,199,47
2,151,78
0,198,41
2,136,74
0,178,57
2,158,78
2,139,60
0,155,39
2,127,75
1,168,68
1,141,48
0,170,42
2,124,44
2,132,64
2,132,44
1,164,59
2,164,73
0,169,47
1,192,76
0,181,39
2,125,55
2,133,79
2,148,60
0,188,49
1,158,56
1,183,79
0,196,60
1,172,58
2,135,71
1,172,71
2,145,65
2,139,59
1,190,68
1,195,73
2,124,67
0,143,37
2,120,54
0,175,46
1,165,59
0,197,64
1,183,75
2,143,52
1,128,40
0,178,50
0,200,55
2,151,70
0,167,50
2,152,60
2,134,71
2,125,63
2,134,59
0,173,49
0,187,44
2,155,61
0,170,53
2,150,58
1,194,72
1,185,72
0,181,51
0,196,59
1,182,62
1,182,77
0,166,35
1,163,55
2,159,74
1,141,43
2,148,78
1,190,74
0,200,69
2,136,73
2,158,80
0,175,49
2,120,51
2,124,47
0,188,65
2,151,78
0,196,52
2,120,45
2,120,65
0,184,58
0,146,39
0,162,35
0,149,40
1,172,65
1,137,38
2,125,50
2,177,80
0,180,57
0,200,35
0,185,61
2,145,62
0,189,35
1,130,42
0,192,36
0,191,57
0,188,38
2,124,79
1,185,64
0,160,37
0,168,46
0,184,57
1,123,35
1,176,72
0,163,43
1,159,57
2,160,71
0,195,43
2,142,51
2,129,62
1,190,79
1,143,41
2,152,67
2,131,46
1,189,72
2,144,76
2,121,77
0,162,42
0,176,43
0,181,42
2,178,80
0,174,43
2,160,76
1,178,72
1,194,80
2,160,70
2,140,76
0,143,37
2,123,41
1,142,50
2,122,76
2,146,69
0,192,45
1,174,57
0,184,41
2,148,67
2,158,69
0,140,35
1,184,79
1,191,70
1,175,74
2,142,67
2,126,50
2,122,77
2,132,48
2,136,74
1,137,43
2,154,74
0,188,61
0,173,47
0,191,39
1,181,77
0,169,50
1,169,53
2,121,63
2,150,60
1,142,44
1,194,75
2,123,69
1,146,42
0,172,45
1,177,71
1,184,68
2,132,78
2,125,57
1,195,76
1,190,70
0,178,57
2,144,57
1,175,74
1,193,71
1,128,37
1,151,43
1,186,75
2,128,58
2,162,75
0,192,37
1,182,65
0,192,59
0,194,66
1,129,40
1,139,42
1,172,71
0,191,50
0,191,42
1,135,35
0,190,49
1,140,39
1,145,43
0,191,56
0,187,49
0,189,35
0,171,45
0,139,35
1,157,49
2,124,66
0,155,42
2,138,54
1,133,35
1,163,61
2,157,69
1,174,61
1,193,72
1,189,73
1,193,73
1,146,40
1,176,70
0,191,63
1,178,67
1,174,60
